tiempo,i_areas,m_areas,c_areas
1990,0,0,0
1991,0,0,0
1992,0,0,0
1993,0,0,0
1994,0,0,0
1995,0,0,0
1996,0,0,0
1997,0,0,0
1998,0,0,0
1999,0,0,0
2000,0,0,0
2001,0,0,0
2002,0,0,0
2003,0,0,0
2004,0,0,0
2005,0,0,0
2006,0,0,0
2007,0,0,0
2008,0,0,0
2009,0,0,0
2010,0,0,0
2011,0,0,0
2012,0,0,0
2013,0,0,0
2014,0,0,0
2015,0,0,0
2016,0,0,0
2017,0,0,0
2018,0,0,0
2019,0,0,0
2020,0,0,0
2021,0,0,0
2022,0,0,0
2023,0,0,0
2024,0,0,0
2025,0,0,0
2026,0,0,0
2027,0,0,0
2028,0,0,0
2029,0,0,0
2030,0,0,0
2031,0,0,0
2032,0,0,0
2033,0,0,0
2034,0,0,0
2035,0,0,0
2036,0,0,0
2037,0,0,0
2038,0,0,0
2039,0,0,0
2040,0,0,0
2041,0,0,0
2042,0,0,0
2043,0,0,0
2044,0,0,0
2045,0,0,0
2046,0,0,0
2047,0,0,0
2048,0,0,0
2049,0,0,0
2050,0,0,0
1990,0.1,0,0
1991,0.1,0,0
1992,0.1,0,0
1993,0.1,0,0
1994,0.1,0,0
1995,0.1,0,0
1996,0.1,0,0
1997,0.1,0,0
1998,0.1,0,0
1999,0.1,0,0
2000,0.1,0,0
2001,0.1,0,0
2002,0.1,0,0
2003,0.1,0,0
2004,0.1,0,0
2005,0.1,0,0
2006,0.1,0,0
2007,0.1,0,0
2008,0.1,0,0
2009,0.1,0,0
2010,0.1,0,0
2011,0.1,0,0
2012,0.1,0,0
2013,0.1,0,0
2014,0.1,0,0
2015,0.1,0,0
2016,0.1,0,0
2017,0.1,0,0
2018,0.1,0,0
2019,0.1,0,0
2020,0.1,0,0
2021,0.1,0,0
2022,0.1,0,0
2023,0.1,0,0
2024,0.1,0,0
2025,0.1,0.0622872,1.0445178
2026,0.1,0.0622872,0.0108384
2027,0.1,0.0622872,0.0110469
2028,0.1,0.0622872,0.0112553
2029,0.1,0.0622872,0.0114637
2030,0.1,0.1245744,1.0572321
2031,0.1,0.1245744,0.0237612
2032,0.1,0.1245745,0.024178
2033,0.1,0.1245744,0.0245949
2034,0.1,0.1245745,0.0250117
2035,0.1,0.1868616,1.0720307
2036,0.1,0.1868616,0.0387682
2037,0.1,0.1868616,0.0393935
2038,0.1,0.1868617,0.0400188
2039,0.1,0.1868617,0.0406441
2040,0.1,0.2491489,1.0889136
2041,0.1,0.2491489,0.0558595
2042,0.1,0.2491489,0.0566933
2043,0.1,0.2491488,0.057527
2044,0.1,0.2491489,0.0583607
2045,0.1,0.3114361,1.1078809
2046,0.1,0.3114361,0.0750352
2047,0.1,0.3114361,0.0760774
2048,0.1,0.3114361,0.0771195
2049,0.1,0.3114361,0.0781617
2050,0.1,0.3737233,1.1289324
1990,0.2,0,0
1991,0.2,0,0
1992,0.2,0,0
1993,0.2,0,0
1994,0.2,0,0
1995,0.2,0,0
1996,0.2,0,0
1997,0.2,0,0
1998,0.2,0,0
1999,0.2,0,0
2000,0.2,0,0
2001,0.2,0,0
2002,0.2,0,0
2003,0.2,0,0
2004,0.2,0,0
2005,0.2,0,0
2006,0.2,0,0
2007,0.2,0,0
2008,0.2,0,0
2009,0.2,0,0
2010,0.2,0,0
2011,0.2,0,0
2012,0.2,0,0
2013,0.2,0,0
2014,0.2,0,0
2015,0.2,0,0
2016,0.2,0,0
2017,0.2,0,0
2018,0.2,0,0
2019,0.2,0,0
2020,0.2,0,0
2021,0.2,0,0
2022,0.2,0,0
2023,0.2,0,0
2024,0.2,0,0
2025,0.2,0.1245744,2.0890356
2026,0.2,0.1245744,0.0216768
2027,0.2,0.1245744,0.0220938
2028,0.2,0.1245744,0.0225106
2029,0.2,0.1245744,0.0229274
2030,0.2,0.2491488,2.1144642
2031,0.2,0.2491488,0.0475224
2032,0.2,0.249149,0.048356
2033,0.2,0.2491488,0.0491898
2034,0.2,0.249149,0.0500234
2035,0.2,0.3737232,2.1440614
2036,0.2,0.3737232,0.0775364
2037,0.2,0.3737232,0.078787
2038,0.2,0.3737234,0.0800376
2039,0.2,0.3737234,0.0812882
2040,0.2,0.4982978,2.1778272
2041,0.2,0.4982978,0.111719
2042,0.2,0.4982978,0.1133866
2043,0.2,0.4982976,0.115054
2044,0.2,0.4982978,0.1167214
2045,0.2,0.6228722,2.2157618
2046,0.2,0.6228722,0.1500704
2047,0.2,0.6228722,0.1521548
2048,0.2,0.6228722,0.154239
2049,0.2,0.6228722,0.1563234
2050,0.2,0.7474466,2.2578648
1990,0.3,0,0
1991,0.3,0,0
1992,0.3,0,0
1993,0.3,0,0
1994,0.3,0,0
1995,0.3,0,0
1996,0.3,0,0
1997,0.3,0,0
1998,0.3,0,0
1999,0.3,0,0
2000,0.3,0,0
2001,0.3,0,0
2002,0.3,0,0
2003,0.3,0,0
2004,0.3,0,0
2005,0.3,0,0
2006,0.3,0,0
2007,0.3,0,0
2008,0.3,0,0
2009,0.3,0,0
2010,0.3,0,0
2011,0.3,0,0
2012,0.3,0,0
2013,0.3,0,0
2014,0.3,0,0
2015,0.3,0,0
2016,0.3,0,0
2017,0.3,0,0
2018,0.3,0,0
2019,0.3,0,0
2020,0.3,0,0
2021,0.3,0,0
2022,0.3,0,0
2023,0.3,0,0
2024,0.3,0,0
2025,0.3,0.1868616,3.1335534
2026,0.3,0.1868616,0.0325152
2027,0.3,0.1868616,0.0331407
2028,0.3,0.1868616,0.0337659
2029,0.3,0.1868616,0.0343911
2030,0.3,0.3737232,3.1716963
2031,0.3,0.3737232,0.0712836
2032,0.3,0.3737235,0.072534
2033,0.3,0.3737232,0.0737847
2034,0.3,0.3737235,0.0750351
2035,0.3,0.5605848,3.2160921
2036,0.3,0.5605848,0.1163046
2037,0.3,0.5605848,0.1181805
2038,0.3,0.5605851,0.1200564
2039,0.3,0.5605851,0.1219323
2040,0.3,0.7474467,3.2667408
2041,0.3,0.7474467,0.1675785
2042,0.3,0.7474467,0.1700799
2043,0.3,0.7474464,0.172581
2044,0.3,0.7474467,0.1750821
2045,0.3,0.9343083,3.3236427
2046,0.3,0.9343083,0.2251056
2047,0.3,0.9343083,0.2282322
2048,0.3,0.9343083,0.2313585
2049,0.3,0.9343083,0.2344851
2050,0.3,1.1211699,3.3867972
1990,0.4,0,0
1991,0.4,0,0
1992,0.4,0,0
1993,0.4,0,0
1994,0.4,0,0
1995,0.4,0,0
1996,0.4,0,0
1997,0.4,0,0
1998,0.4,0,0
1999,0.4,0,0
2000,0.4,0,0
2001,0.4,0,0
2002,0.4,0,0
2003,0.4,0,0
2004,0.4,0,0
2005,0.4,0,0
2006,0.4,0,0
2007,0.4,0,0
2008,0.4,0,0
2009,0.4,0,0
2010,0.4,0,0
2011,0.4,0,0
2012,0.4,0,0
2013,0.4,0,0
2014,0.4,0,0
2015,0.4,0,0
2016,0.4,0,0
2017,0.4,0,0
2018,0.4,0,0
2019,0.4,0,0
2020,0.4,0,0
2021,0.4,0,0
2022,0.4,0,0
2023,0.4,0,0
2024,0.4,0,0
2025,0.4,0.2491488,4.1780712
2026,0.4,0.2491488,0.0433536
2027,0.4,0.2491488,0.0441876
2028,0.4,0.2491488,0.0450212
2029,0.4,0.2491488,0.0458548
2030,0.4,0.4982976,4.2289284
2031,0.4,0.4982976,0.0950448
2032,0.4,0.498298,0.096712
2033,0.4,0.4982976,0.0983796
2034,0.4,0.498298,0.1000468
2035,0.4,0.7474464,4.2881228
2036,0.4,0.7474464,0.1550728
2037,0.4,0.7474464,0.157574
2038,0.4,0.7474468,0.1600752
2039,0.4,0.7474468,0.1625764
2040,0.4,0.9965956,4.3556544
2041,0.4,0.9965956,0.223438
2042,0.4,0.9965956,0.2267732
2043,0.4,0.9965952,0.230108
2044,0.4,0.9965956,0.2334428
2045,0.4,1.2457444,4.4315236
2046,0.4,1.2457444,0.3001408
2047,0.4,1.2457444,0.3043096
2048,0.4,1.2457444,0.308478
2049,0.4,1.2457444,0.3126468
2050,0.4,1.4948932,4.5157296
1990,0.5,0,0
1991,0.5,0,0
1992,0.5,0,0
1993,0.5,0,0
1994,0.5,0,0
1995,0.5,0,0
1996,0.5,0,0
1997,0.5,0,0
1998,0.5,0,0
1999,0.5,0,0
2000,0.5,0,0
2001,0.5,0,0
2002,0.5,0,0
2003,0.5,0,0
2004,0.5,0,0
2005,0.5,0,0
2006,0.5,0,0
2007,0.5,0,0
2008,0.5,0,0
2009,0.5,0,0
2010,0.5,0,0
2011,0.5,0,0
2012,0.5,0,0
2013,0.5,0,0
2014,0.5,0,0
2015,0.5,0,0
2016,0.5,0,0
2017,0.5,0,0
2018,0.5,0,0
2019,0.5,0,0
2020,0.5,0,0
2021,0.5,0,0
2022,0.5,0,0
2023,0.5,0,0
2024,0.5,0,0
2025,0.5,0.311436,5.222589
2026,0.5,0.311436,0.054192
2027,0.5,0.311436,0.0552345
2028,0.5,0.311436,0.0562765
2029,0.5,0.311436,0.0573185
2030,0.5,0.622872,5.2861605
2031,0.5,0.622872,0.118806
2032,0.5,0.6228725,0.12089
2033,0.5,0.622872,0.1229745
2034,0.5,0.6228725,0.1250585
2035,0.5,0.934308,5.3601535
2036,0.5,0.934308,0.193841
2037,0.5,0.934308,0.1969675
2038,0.5,0.9343085,0.200094
2039,0.5,0.9343085,0.2032205
2040,0.5,1.2457445,5.444568
2041,0.5,1.2457445,0.2792975
2042,0.5,1.2457445,0.2834665
2043,0.5,1.245744,0.287635
2044,0.5,1.2457445,0.2918035
2045,0.5,1.5571805,5.5394045
2046,0.5,1.5571805,0.375176
2047,0.5,1.5571805,0.380387
2048,0.5,1.5571805,0.3855975
2049,0.5,1.5571805,0.3908085
2050,0.5,1.8686165,5.644662
1990,0.6,0,0
1991,0.6,0,0
1992,0.6,0,0
1993,0.6,0,0
1994,0.6,0,0
1995,0.6,0,0
1996,0.6,0,0
1997,0.6,0,0
1998,0.6,0,0
1999,0.6,0,0
2000,0.6,0,0
2001,0.6,0,0
2002,0.6,0,0
2003,0.6,0,0
2004,0.6,0,0
2005,0.6,0,0
2006,0.6,0,0
2007,0.6,0,0
2008,0.6,0,0
2009,0.6,0,0
2010,0.6,0,0
2011,0.6,0,0
2012,0.6,0,0
2013,0.6,0,0
2014,0.6,0,0
2015,0.6,0,0
2016,0.6,0,0
2017,0.6,0,0
2018,0.6,0,0
2019,0.6,0,0
2020,0.6,0,0
2021,0.6,0,0
2022,0.6,0,0
2023,0.6,0,0
2024,0.6,0,0
2025,0.6,0.41109552,6.2671068
2026,0.6,0.41109552,0.0650304
2027,0.6,0.41109552,0.0662814
2028,0.6,0.41109552,0.0675318
2029,0.6,0.41109552,0.0687822
2030,0.6,0.82219104,6.3433926
2031,0.6,0.82219104,0.1425672
2032,0.6,0.8221917,0.145068
2033,0.6,0.82219104,0.1475694
2034,0.6,0.8221917,0.1500702
2035,0.6,1.23328656,6.4321842
2036,0.6,1.23328656,0.2326092
2037,0.6,1.23328656,0.236361
2038,0.6,1.23328722,0.2401128
2039,0.6,1.23328722,0.2438646
2040,0.6,1.64438274,6.5334816
2041,0.6,1.64438274,0.335157
2042,0.6,1.64438274,0.3401598
2043,0.6,1.64438208,0.345162
2044,0.6,1.64438274,0.3501642
2045,0.6,2.05547826,6.6472854
2046,0.6,2.05547826,0.4502112
2047,0.6,2.05547826,0.4564644
2048,0.6,2.05547826,0.462717
2049,0.6,2.05547826,0.4689702
2050,0.6,2.46657378,6.7735944
1990,0.7,0,0
1991,0.7,0,0
1992,0.7,0,0
1993,0.7,0,0
1994,0.7,0,0
1995,0.7,0,0
1996,0.7,0,0
1997,0.7,0,0
1998,0.7,0,0
1999,0.7,0,0
2000,0.7,0,0
2001,0.7,0,0
2002,0.7,0,0
2003,0.7,0,0
2004,0.7,0,0
2005,0.7,0,0
2006,0.7,0,0
2007,0.7,0,0
2008,0.7,0,0
2009,0.7,0,0
2010,0.7,0,0
2011,0.7,0,0
2012,0.7,0,0
2013,0.7,0,0
2014,0.7,0,0
2015,0.7,0,0
2016,0.7,0,0
2017,0.7,0,0
2018,0.7,0,0
2019,0.7,0,0
2020,0.7,0,0
2021,0.7,0,0
2022,0.7,0,0
2023,0.7,0,0
2024,0.7,0,0
2025,0.7,0.4360104,7.3116246
2026,0.7,0.4360104,0.0758688
2027,0.7,0.4360104,0.0773283
2028,0.7,0.4360104,0.0787871
2029,0.7,0.4360104,0.0802459
2030,0.7,0.8720208,7.4006247
2031,0.7,0.8720208,0.1663284
2032,0.7,0.8720215,0.169246
2033,0.7,0.8720208,0.1721643
2034,0.7,0.8720215,0.1750819
2035,0.7,1.3080312,7.5042149
2036,0.7,1.3080312,0.2713774
2037,0.7,1.3080312,0.2757545
2038,0.7,1.3080319,0.2801316
2039,0.7,1.3080319,0.2845087
2040,0.7,1.7440423,7.6223952
2041,0.7,1.7440423,0.3910165
2042,0.7,1.7440423,0.3968531
2043,0.7,1.7440416,0.402689
2044,0.7,1.7440423,0.4085249
2045,0.7,2.1800527,7.7551663
2046,0.7,2.1800527,0.5252464
2047,0.7,2.1800527,0.5325418
2048,0.7,2.1800527,0.5398365
2049,0.7,2.1800527,0.5471319
2050,0.7,2.6160631,7.9025268
1990,0.8,0,0
1991,0.8,0,0
1992,0.8,0,0
1993,0.8,0,0
1994,0.8,0,0
1995,0.8,0,0
1996,0.8,0,0
1997,0.8,0,0
1998,0.8,0,0
1999,0.8,0,0
2000,0.8,0,0
2001,0.8,0,0
2002,0.8,0,0
2003,0.8,0,0
2004,0.8,0,0
2005,0.8,0,0
2006,0.8,0,0
2007,0.8,0,0
2008,0.8,0,0
2009,0.8,0,0
2010,0.8,0,0
2011,0.8,0,0
2012,0.8,0,0
2013,0.8,0,0
2014,0.8,0,0
2015,0.8,0,0
2016,0.8,0,0
2017,0.8,0,0
2018,0.8,0,0
2019,0.8,0,0
2020,0.8,0,0
2021,0.8,0,0
2022,0.8,0,0
2023,0.8,0,0
2024,0.8,0,0
2025,0.8,0.4982976,8.3561424
2026,0.8,0.4982976,0.0867072
2027,0.8,0.4982976,0.0883752
2028,0.8,0.4982976,0.0900424
2029,0.8,0.4982976,0.0917096
2030,0.8,0.9965952,8.4578568
2031,0.8,0.9965952,0.1900896
2032,0.8,0.996596,0.193424
2033,0.8,0.9965952,0.1967592
2034,0.8,0.996596,0.2000936
2035,0.8,1.4948928,8.5762456
2036,0.8,1.4948928,0.3101456
2037,0.8,1.4948928,0.315148
2038,0.8,1.4948936,0.3201504
2039,0.8,1.4948936,0.3251528
2040,0.8,1.9931912,8.7113088
2041,0.8,1.9931912,0.446876
2042,0.8,1.9931912,0.4535464
2043,0.8,1.9931904,0.460216
2044,0.8,1.9931912,0.4668856
2045,0.8,2.4914888,8.8630472
2046,0.8,2.4914888,0.6002816
2047,0.8,2.4914888,0.6086192
2048,0.8,2.4914888,0.616956
2049,0.8,2.4914888,0.6252936
2050,0.8,2.9897864,9.0314592
1990,0.9,0,0
1991,0.9,0,0
1992,0.9,0,0
1993,0.9,0,0
1994,0.9,0,0
1995,0.9,0,0
1996,0.9,0,0
1997,0.9,0,0
1998,0.9,0,0
1999,0.9,0,0
2000,0.9,0,0
2001,0.9,0,0
2002,0.9,0,0
2003,0.9,0,0
2004,0.9,0,0
2005,0.9,0,0
2006,0.9,0,0
2007,0.9,0,0
2008,0.9,0,0
2009,0.9,0,0
2010,0.9,0,0
2011,0.9,0,0
2012,0.9,0,0
2013,0.9,0,0
2014,0.9,0,0
2015,0.9,0,0
2016,0.9,0,0
2017,0.9,0,0
2018,0.9,0,0
2019,0.9,0,0
2020,0.9,0,0
2021,0.9,0,0
2022,0.9,0,0
2023,0.9,0,0
2024,0.9,0,0
2025,0.9,0.5605848,9.4006602
2026,0.9,0.5605848,0.0975456
2027,0.9,0.5605848,0.0994221
2028,0.9,0.5605848,0.1012977
2029,0.9,0.5605848,0.1031733
2030,0.9,1.1211696,9.5150889
2031,0.9,1.1211696,0.2138508
2032,0.9,1.1211705,0.217602
2033,0.9,1.1211696,0.2213541
2034,0.9,1.1211705,0.2251053
2035,0.9,1.6817544,9.6482763
2036,0.9,1.6817544,0.3489138
2037,0.9,1.6817544,0.3545415
2038,0.9,1.6817553,0.3601692
2039,0.9,1.6817553,0.3657969
2040,0.9,2.2423401,9.8002224
2041,0.9,2.2423401,0.5027355
2042,0.9,2.2423401,0.5102397
2043,0.9,2.2423392,0.517743
2044,0.9,2.2423401,0.5252463
2045,0.9,2.8029249,9.9709281
2046,0.9,2.8029249,0.6753168
2047,0.9,2.8029249,0.6846966
2048,0.9,2.8029249,0.6940755
2049,0.9,2.8029249,0.7034553
2050,0.9,3.3635097,10.1603916
1990,1,0,0
1991,1,0,0
1992,1,0,0
1993,1,0,0
1994,1,0,0
1995,1,0,0
1996,1,0,0
1997,1,0,0
1998,1,0,0
1999,1,0,0
2000,1,0,0
2001,1,0,0
2002,1,0,0
2003,1,0,0
2004,1,0,0
2005,1,0,0
2006,1,0,0
2007,1,0,0
2008,1,0,0
2009,1,0,0
2010,1,0,0
2011,1,0,0
2012,1,0,0
2013,1,0,0
2014,1,0,0
2015,1,0,0
2016,1,0,0
2017,1,0,0
2018,1,0,0
2019,1,0,0
2020,1,0,0
2021,1,0,0
2022,1,0,0
2023,1,0,0
2024,1,0,0
2025,1,0.622872,10.445178
2026,1,0.622872,0.108384
2027,1,0.622872,0.110469
2028,1,0.622872,0.112553
2029,1,0.622872,0.114637
2030,1,1.245744,10.572321
2031,1,1.245744,0.237612
2032,1,1.245745,0.24178
2033,1,1.245744,0.245949
2034,1,1.245745,0.250117
2035,1,1.868616,10.720307
2036,1,1.868616,0.387682
2037,1,1.868616,0.393935
2038,1,1.868617,0.400188
2039,1,1.868617,0.406441
2040,1,2.491489,10.889136
2041,1,2.491489,0.558595
2042,1,2.491489,0.566933
2043,1,2.491488,0.57527
2044,1,2.491489,0.583607
2045,1,3.114361,11.078809
2046,1,3.114361,0.750352
2047,1,3.114361,0.760774
2048,1,3.114361,0.771195
2049,1,3.114361,0.781617
2050,1,3.737233,11.289324
